json_file_path,consumer,consumer_scope,scope_alignment,signalt_irrigation_source,consumer_ready,redundant_with,added_value,quality_risk,notes,row_key,stage,stage_known,file_exists,file_bytes,irrigability_bucket,irrigability_reasons,stage_expected_signal_types,stage_required_capabilities,stage_registered_consumer_ids,stage_declared_consumer_ids,stage_declared_consumer_count,stage_registered_consumer_count,stage_declared_capabilities_union,stage_declared_allowed_signal_types_union,stage_declared_min_confidence_min,stage_declared_max_signals_per_query_max,stage_expected_signal_types_covered_by_declared,stage_expected_signal_types_uncovered_by_declared,stage_required_capabilities_covered_by_declared,stage_required_capabilities_missing_in_declared,stage_has_registered_consumer,stage_has_declared_equipped_consumer,stage_signal_vocab_mismatch,stage_capability_vocab_mismatch
_build/integrity_report.json,BuildSystem.generate_artifacts,External,PARTIAL,None,YES,None,MARGINAL,MEDIUM,Can be regenerated or is atomic unit,1d2c7325c799d4ec61f5f04cdede5a79a7f886c3,External,True,True,153,definitely_not,"[""consumer_scope=External"",""scope_alignment=PARTIAL"",""added_value=MARGINAL"",""signalt_irrigation_source=None"",""regenerable_or_atomic_unit""]",[],[],[],[],0,0,[],[],,,[],[],[],[],False,False,False,False
_registry/EMPIRICAL_CORPUS_INDEX.json,EmpiricalExtractor.corpus_lookup,Phase_01,YES,Signalt.Extraction,YES,None,YES,LOW,,d76caa0a1a07b9d485dcdd8065cf47f74494c5a7,phase_01,True,True,10773,not_irrigable_yet,"[""no_equipped_consumer_for_stage""]","[""MC01"",""MC02"",""MC03"",""MC04"",""MC05"",""MC06"",""MC07"",""MC08"",""MC09"",""MC10""]","[""CAUSAL_INFERENCE"",""CITATION_PARSING"",""COREFERENCE"",""CURRENCY_NORMALIZATION"",""DATE_NORMALIZATION"",""DEMOGRAPHIC_ANALYSIS"",""EMBEDDING_LOOKUP"",""ENTITY_RESOLUTION"",""FINANCIAL_ANALYSIS"",""GRAPH_CONSTRUCTION"",""HIERARCHY_PARSING"",""NER_EXTRACTION"",""NORMATIVE_LOOKUP"",""NUMERIC_PARSING"",""POPULATION_PARSING"",""SECTION_DETECTION"",""SEMANTIC_SIMILARITY"",""STRUCTURAL_PARSING"",""TEMPORAL_PARSING"",""TREE_CONSTRUCTION"",""TRIPLET_EXTRACTION"",""VERB_ANALYSIS""]","[""phase_1_extraction""]",[],0,1,[],[],,,[],"[""MC01"",""MC02"",""MC03"",""MC04"",""MC05"",""MC06"",""MC07"",""MC08"",""MC09"",""MC10""]",[],"[""CAUSAL_INFERENCE"",""CITATION_PARSING"",""COREFERENCE"",""CURRENCY_NORMALIZATION"",""DATE_NORMALIZATION"",""DEMOGRAPHIC_ANALYSIS"",""EMBEDDING_LOOKUP"",""ENTITY_RESOLUTION"",""FINANCIAL_ANALYSIS"",""GRAPH_CONSTRUCTION"",""HIERARCHY_PARSING"",""NER_EXTRACTION"",""NORMATIVE_LOOKUP"",""NUMERIC_PARSING"",""POPULATION_PARSING"",""SECTION_DETECTION"",""SEMANTIC_SIMILARITY"",""STRUCTURAL_PARSING"",""TEMPORAL_PARSING"",""TREE_CONSTRUCTION"",""TRIPLET_EXTRACTION"",""VERB_ANALYSIS""]",True,False,False,False
_registry/SISAS_IRRIGATION_SPEC.json,Documentation.SISAS,External,YES,None,YES,None,MARGINAL,MEDIUM,Can be regenerated or is atomic unit,aaec808628d88ecd5b8e1fa27f25fd8af1824ba8,External,True,True,18470,definitely_not,"[""consumer_scope=External"",""added_value=MARGINAL"",""signalt_irrigation_source=None"",""regenerable_or_atomic_unit""]",[],[],[],[],0,0,[],[],,,[],[],[],[],False,False,False,False
_registry/capabilities/capability_definitions.json,CQCLoader.route_signal,Cross-Phase,YES,Signalt.Routing,YES,None,YES,LOW,,84e8e75a88c943e37faf5297cfc6416518f89d68,Cross-Phase,True,True,5424,irrigable_now,[],[],[],[],[],0,0,[],[],,,[],[],[],[],False,False,False,False
_registry/capabilities/consumer_capability_declarations.json,CQCLoader.route_signal,Cross-Phase,YES,Signalt.Routing,YES,None,YES,LOW,,98d91bc87c72c9e7661810c3c29f8a46437e0068,Cross-Phase,True,True,7284,irrigable_now,[],[],[],[],[],0,0,[],[],,,[],[],[],[],False,False,False,False
_registry/capabilities/signal_capability_map.json,CQCLoader.route_signal,Cross-Phase,YES,Signalt.Routing,YES,None,YES,LOW,,e2069305a96703acb33714dcef3ef161cc789bc4,Cross-Phase,True,True,4719,irrigable_now,[],[],[],[],[],0,0,[],[],,,[],[],[],[],False,False,False,False
_registry/entities/corpus_empirico_calibracion_extractores.json,Phase_03.NormativeComplianceValidator,Phase_03,YES,Signalt.EntityExtraction,YES,None,YES,LOW,,966b11b471a652934bd5b3d19a751a7a3d02cec1,phase_03,True,True,25394,irrigable_now,[],"[""NORMATIVE_VALIDATION"",""ENTITY_VALIDATION"",""COHERENCE_VALIDATION""]","[""COMPLIANCE_CHECK"",""CONSISTENCY_CHECK"",""ENTITY_RESOLUTION"",""EXISTENCE_CHECK"",""NORMATIVE_LOOKUP"",""SEMANTIC_SIMILARITY""]","[""phase_3_validation""]","[""BaselineScorer"",""CausalScorer"",""CrossCuttingScorer"",""DimensionScorer"",""PolicyAreaScorer"",""QualityScorer"",""StructuralScorer""]",7,1,"[""CAUSAL_INFERENCE"",""FINANCIAL_ANALYSIS"",""GRAPH_CONSTRUCTION"",""NER_EXTRACTION"",""NUMERIC_PARSING"",""SEMANTIC_PROCESSING"",""TABLE_PARSING""]","[""CAUSAL_LINK"",""CROSS_CUTTING_THEME"",""FINANCIAL_CHAIN"",""INSTITUTIONAL_ENTITY"",""NORMATIVE_REFERENCE"",""POPULATION_DISAGGREGATION"",""PROGRAMMATIC_HIERARCHY"",""QUANTITATIVE_TRIPLET"",""STRUCTURAL_MARKER""]",0.55,100,[],"[""NORMATIVE_VALIDATION"",""ENTITY_VALIDATION"",""COHERENCE_VALIDATION""]",[],"[""COMPLIANCE_CHECK"",""CONSISTENCY_CHECK"",""ENTITY_RESOLUTION"",""EXISTENCE_CHECK"",""NORMATIVE_LOOKUP"",""SEMANTIC_SIMILARITY""]",True,True,True,True
_registry/entities/corpus_empirico_integrado.json,Phase_03.NormativeComplianceValidator,Phase_03,YES,Signalt.EntityExtraction,YES,None,YES,LOW,,8a0bb6e828439f4fe471fe4e5d90f7fd8117be09,phase_03,True,True,47605,irrigable_now,[],"[""NORMATIVE_VALIDATION"",""ENTITY_VALIDATION"",""COHERENCE_VALIDATION""]","[""COMPLIANCE_CHECK"",""CONSISTENCY_CHECK"",""ENTITY_RESOLUTION"",""EXISTENCE_CHECK"",""NORMATIVE_LOOKUP"",""SEMANTIC_SIMILARITY""]","[""phase_3_validation""]","[""BaselineScorer"",""CausalScorer"",""CrossCuttingScorer"",""DimensionScorer"",""PolicyAreaScorer"",""QualityScorer"",""StructuralScorer""]",7,1,"[""CAUSAL_INFERENCE"",""FINANCIAL_ANALYSIS"",""GRAPH_CONSTRUCTION"",""NER_EXTRACTION"",""NUMERIC_PARSING"",""SEMANTIC_PROCESSING"",""TABLE_PARSING""]","[""CAUSAL_LINK"",""CROSS_CUTTING_THEME"",""FINANCIAL_CHAIN"",""INSTITUTIONAL_ENTITY"",""NORMATIVE_REFERENCE"",""POPULATION_DISAGGREGATION"",""PROGRAMMATIC_HIERARCHY"",""QUANTITATIVE_TRIPLET"",""STRUCTURAL_MARKER""]",0.55,100,[],"[""NORMATIVE_VALIDATION"",""ENTITY_VALIDATION"",""COHERENCE_VALIDATION""]",[],"[""COMPLIANCE_CHECK"",""CONSISTENCY_CHECK"",""ENTITY_RESOLUTION"",""EXISTENCE_CHECK"",""NORMATIVE_LOOKUP"",""SEMANTIC_SIMILARITY""]",True,True,True,True
_registry/entities/corpus_empirico_normatividad.json,Phase_03.NormativeComplianceValidator,Phase_03,YES,Signalt.EntityExtraction,YES,None,YES,LOW,,28e9db7bb6ec4ce5e2f27d4298bee335a0986edd,phase_03,True,True,8702,irrigable_now,[],"[""NORMATIVE_VALIDATION"",""ENTITY_VALIDATION"",""COHERENCE_VALIDATION""]","[""COMPLIANCE_CHECK"",""CONSISTENCY_CHECK"",""ENTITY_RESOLUTION"",""EXISTENCE_CHECK"",""NORMATIVE_LOOKUP"",""SEMANTIC_SIMILARITY""]","[""phase_3_validation""]","[""BaselineScorer"",""CausalScorer"",""CrossCuttingScorer"",""DimensionScorer"",""PolicyAreaScorer"",""QualityScorer"",""StructuralScorer""]",7,1,"[""CAUSAL_INFERENCE"",""FINANCIAL_ANALYSIS"",""GRAPH_CONSTRUCTION"",""NER_EXTRACTION"",""NUMERIC_PARSING"",""SEMANTIC_PROCESSING"",""TABLE_PARSING""]","[""CAUSAL_LINK"",""CROSS_CUTTING_THEME"",""FINANCIAL_CHAIN"",""INSTITUTIONAL_ENTITY"",""NORMATIVE_REFERENCE"",""POPULATION_DISAGGREGATION"",""PROGRAMMATIC_HIERARCHY"",""QUANTITATIVE_TRIPLET"",""STRUCTURAL_MARKER""]",0.55,100,[],"[""NORMATIVE_VALIDATION"",""ENTITY_VALIDATION"",""COHERENCE_VALIDATION""]",[],"[""COMPLIANCE_CHECK"",""CONSISTENCY_CHECK"",""ENTITY_RESOLUTION"",""EXISTENCE_CHECK"",""NORMATIVE_LOOKUP"",""SEMANTIC_SIMILARITY""]",True,True,True,True
_registry/entities/index.json,Phase_03.NormativeComplianceValidator,Phase_03,YES,Signalt.EntityExtraction,YES,None,YES,LOW,,bc58e57699caea8e62eddcfe8f4bb6c92a8960cb,phase_03,True,True,3620,irrigable_now,[],"[""NORMATIVE_VALIDATION"",""ENTITY_VALIDATION"",""COHERENCE_VALIDATION""]","[""COMPLIANCE_CHECK"",""CONSISTENCY_CHECK"",""ENTITY_RESOLUTION"",""EXISTENCE_CHECK"",""NORMATIVE_LOOKUP"",""SEMANTIC_SIMILARITY""]","[""phase_3_validation""]","[""BaselineScorer"",""CausalScorer"",""CrossCuttingScorer"",""DimensionScorer"",""PolicyAreaScorer"",""QualityScorer"",""StructuralScorer""]",7,1,"[""CAUSAL_INFERENCE"",""FINANCIAL_ANALYSIS"",""GRAPH_CONSTRUCTION"",""NER_EXTRACTION"",""NUMERIC_PARSING"",""SEMANTIC_PROCESSING"",""TABLE_PARSING""]","[""CAUSAL_LINK"",""CROSS_CUTTING_THEME"",""FINANCIAL_CHAIN"",""INSTITUTIONAL_ENTITY"",""NORMATIVE_REFERENCE"",""POPULATION_DISAGGREGATION"",""PROGRAMMATIC_HIERARCHY"",""QUANTITATIVE_TRIPLET"",""STRUCTURAL_MARKER""]",0.55,100,[],"[""NORMATIVE_VALIDATION"",""ENTITY_VALIDATION"",""COHERENCE_VALIDATION""]",[],"[""COMPLIANCE_CHECK"",""CONSISTENCY_CHECK"",""ENTITY_RESOLUTION"",""EXISTENCE_CHECK"",""NORMATIVE_LOOKUP"",""SEMANTIC_SIMILARITY""]",True,True,True,True
