json_file_path,stage,phase,vehiculos_str,vehiculo_count,consumidores_str,consumidor_count,irrigability_bucket,tiene_vehiculo,tiene_consumidor,bloqueado_por_valor,gaps_str,accion_recomendada,added_value,notes,consumer_scope,file_exists,file_bytes
_build/integrity_report.json,External,N/A,NINGUNO,0,NINGUNO,0,definitely_not,False,False,True,"NECESITA_VEHICULO, NECESITA_CONSUMIDOR, BLOQUEADO_POR_VALOR_MARGINAL",WIRING_COMPLETO_REQUERIDO,MARGINAL,Can be regenerated or is atomic unit,External,True,153
_registry/EMPIRICAL_CORPUS_INDEX.json,phase_01,Phase_01,NINGUNO,0,"phase1_11_00_signal_enrichment.py, phase1_13_00_cpp_ingestion.py",2,not_irrigable_yet,False,True,False,NECESITA_VEHICULO,AGREGAR_CARGA_EN_VEHICULO,YES,,Phase_01,True,10773
_registry/SISAS_IRRIGATION_SPEC.json,External,N/A,NINGUNO,0,NINGUNO,0,definitely_not,False,False,True,"NECESITA_VEHICULO, NECESITA_CONSUMIDOR, BLOQUEADO_POR_VALOR_MARGINAL",WIRING_COMPLETO_REQUERIDO,MARGINAL,Can be regenerated or is atomic unit,External,True,18470
_registry/capabilities/capability_definitions.json,Cross-Phase,N/A,NINGUNO,0,NINGUNO,0,irrigable_now,False,False,False,"NECESITA_VEHICULO, NECESITA_CONSUMIDOR",WIRING_COMPLETO_REQUERIDO,YES,,Cross-Phase,True,5424
_registry/capabilities/consumer_capability_declarations.json,Cross-Phase,N/A,NINGUNO,0,NINGUNO,0,irrigable_now,False,False,False,"NECESITA_VEHICULO, NECESITA_CONSUMIDOR",WIRING_COMPLETO_REQUERIDO,YES,,Cross-Phase,True,7284
_registry/capabilities/signal_capability_map.json,Cross-Phase,N/A,NINGUNO,0,NINGUNO,0,irrigable_now,False,False,False,"NECESITA_VEHICULO, NECESITA_CONSUMIDOR",WIRING_COMPLETO_REQUERIDO,YES,,Cross-Phase,True,4719
_registry/entities/corpus_empirico_calibracion_extractores.json,phase_03,Phase_03,NINGUNO,0,phase3_10_00_phase3_signal_enriched_scoring.py,1,irrigable_now,False,True,False,"NECESITA_VEHICULO, VOCAB_SEÑALES_NO_ALINEADO, VOCAB_CAPACIDADES_NO_ALINEADO",AGREGAR_CARGA_EN_VEHICULO,YES,,Phase_03,True,25394
_registry/entities/corpus_empirico_integrado.json,phase_03,Phase_03,NINGUNO,0,phase3_10_00_phase3_signal_enriched_scoring.py,1,irrigable_now,False,True,False,"NECESITA_VEHICULO, VOCAB_SEÑALES_NO_ALINEADO, VOCAB_CAPACIDADES_NO_ALINEADO",AGREGAR_CARGA_EN_VEHICULO,YES,,Phase_03,True,47605
_registry/entities/corpus_empirico_normatividad.json,phase_03,Phase_03,NINGUNO,0,phase3_10_00_phase3_signal_enriched_scoring.py,1,irrigable_now,False,True,False,"NECESITA_VEHICULO, VOCAB_SEÑALES_NO_ALINEADO, VOCAB_CAPACIDADES_NO_ALINEADO",AGREGAR_CARGA_EN_VEHICULO,YES,,Phase_03,True,8702
_registry/entities/index.json,phase_03,Phase_03,NINGUNO,0,phase3_10_00_phase3_signal_enriched_scoring.py,1,irrigable_now,False,True,False,"NECESITA_VEHICULO, VOCAB_SEÑALES_NO_ALINEADO, VOCAB_CAPACIDADES_NO_ALINEADO",AGREGAR_CARGA_EN_VEHICULO,YES,,Phase_03,True,3620
_registry/entities/institutions.json,phase_03,Phase_03,NINGUNO,0,phase3_10_00_phase3_signal_enriched_scoring.py,1,irrigable_now,False,True,False,"NECESITA_VEHICULO, VOCAB_SEÑALES_NO_ALINEADO, VOCAB_CAPACIDADES_NO_ALINEADO",AGREGAR_CARGA_EN_VEHICULO,YES,,Phase_03,True,34126
_registry/entities/institutions_expanded.json,phase_03,Phase_03,NINGUNO,0,phase3_10_00_phase3_signal_enriched_scoring.py,1,irrigable_now,False,True,False,"NECESITA_VEHICULO, VOCAB_SEÑALES_NO_ALINEADO, VOCAB_CAPACIDADES_NO_ALINEADO",AGREGAR_CARGA_EN_VEHICULO,YES,,Phase_03,True,21645
_registry/entities/international.json,phase_03,Phase_03,NINGUNO,0,phase3_10_00_phase3_signal_enriched_scoring.py,1,irrigable_now,False,True,False,"NECESITA_VEHICULO, VOCAB_SEÑALES_NO_ALINEADO, VOCAB_CAPACIDADES_NO_ALINEADO",AGREGAR_CARGA_EN_VEHICULO,YES,,Phase_03,True,1178
_registry/entities/normative.json,phase_03,Phase_03,NINGUNO,0,phase3_10_00_phase3_signal_enriched_scoring.py,1,irrigable_now,False,True,False,"NECESITA_VEHICULO, VOCAB_SEÑALES_NO_ALINEADO, VOCAB_CAPACIDADES_NO_ALINEADO",AGREGAR_CARGA_EN_VEHICULO,YES,,Phase_03,True,5298
_registry/entities/normative_compliance.json,phase_03,Phase_03,NINGUNO,0,phase3_10_00_phase3_signal_enriched_scoring.py,1,irrigable_now,False,True,False,"NECESITA_VEHICULO, VOCAB_SEÑALES_NO_ALINEADO, VOCAB_CAPACIDADES_NO_ALINEADO",AGREGAR_CARGA_EN_VEHICULO,YES,,Phase_03,True,8765
_registry/entities/policy_areas_canonical.json,phase_03,Phase_03,NINGUNO,0,phase3_10_00_phase3_signal_enriched_scoring.py,1,irrigable_now,False,True,False,"NECESITA_VEHICULO, VOCAB_SEÑALES_NO_ALINEADO, VOCAB_CAPACIDADES_NO_ALINEADO",AGREGAR_CARGA_EN_VEHICULO,YES,,Phase_03,True,3172
_registry/entities/populations.json,phase_03,Phase_03,NINGUNO,0,phase3_10_00_phase3_signal_enriched_scoring.py,1,irrigable_now,False,True,False,"NECESITA_VEHICULO, VOCAB_SEÑALES_NO_ALINEADO, VOCAB_CAPACIDADES_NO_ALINEADO",AGREGAR_CARGA_EN_VEHICULO,YES,,Phase_03,True,2252
_registry/entities/territorial.json,phase_03,Phase_03,NINGUNO,0,phase3_10_00_phase3_signal_enriched_scoring.py,1,irrigable_now,False,True,False,"NECESITA_VEHICULO, VOCAB_SEÑALES_NO_ALINEADO, VOCAB_CAPACIDADES_NO_ALINEADO",AGREGAR_CARGA_EN_VEHICULO,YES,,Phase_03,True,17200
_registry/keywords/by_policy_area/PA01.json,phase_02,Phase_02,NINGUNO,0,"phase2_10_00_factory.py, phase2_30_03_resource_aware_executor.py, phase2_40_03_irrigation_synchronizer.py, phase2_60_00_base_executor_with_contract.py, phase2_80_00_evidence_nexus.py, phase2_95_00_contract_hydrator.py, phase2_95_02_precision_tracking.py",7,definitely_not,False,True,True,"NECESITA_VEHICULO, BLOQUEADO_POR_VALOR_MARGINAL, VOCAB_SEÑALES_NO_ALINEADO",AGREGAR_CARGA_EN_VEHICULO,YES,,Phase_02,True,3645
_registry/keywords/by_policy_area/PA01_mujeres_genero.json,phase_02,Phase_02,NINGUNO,0,"phase2_10_00_factory.py, phase2_30_03_resource_aware_executor.py, phase2_40_03_irrigation_synchronizer.py, phase2_60_00_base_executor_with_contract.py, phase2_80_00_evidence_nexus.py, phase2_95_00_contract_hydrator.py, phase2_95_02_precision_tracking.py",7,definitely_not,False,True,True,"NECESITA_VEHICULO, BLOQUEADO_POR_VALOR_MARGINAL, VOCAB_SEÑALES_NO_ALINEADO",AGREGAR_CARGA_EN_VEHICULO,YES,,Phase_02,True,3176
_registry/keywords/by_policy_area/PA02.json,phase_02,Phase_02,NINGUNO,0,"phase2_10_00_factory.py, phase2_30_03_resource_aware_executor.py, phase2_40_03_irrigation_synchronizer.py, phase2_60_00_base_executor_with_contract.py, phase2_80_00_evidence_nexus.py, phase2_95_00_contract_hydrator.py, phase2_95_02_precision_tracking.py",7,definitely_not,False,True,True,"NECESITA_VEHICULO, BLOQUEADO_POR_VALOR_MARGINAL, VOCAB_SEÑALES_NO_ALINEADO",AGREGAR_CARGA_EN_VEHICULO,YES,,Phase_02,True,3459
_registry/keywords/by_policy_area/PA02_violencia_conflicto.json,phase_02,Phase_02,NINGUNO,0,"phase2_10_00_factory.py, phase2_30_03_resource_aware_executor.py, phase2_40_03_irrigation_synchronizer.py, phase2_60_00_base_executor_with_contract.py, phase2_80_00_evidence_nexus.py, phase2_95_00_contract_hydrator.py, phase2_95_02_precision_tracking.py",7,definitely_not,False,True,True,"NECESITA_VEHICULO, BLOQUEADO_POR_VALOR_MARGINAL, VOCAB_SEÑALES_NO_ALINEADO",AGREGAR_CARGA_EN_VEHICULO,YES,,Phase_02,True,2978
