json_file_path,stage,consumer_scope,irrigability_bucket,irrigability_reasons,vehicle_count,vehicle_modules,stage_declared_consumer_ids,stage_registered_consumer_ids,stage_expected_signal_types,stage_required_capabilities,flag_no_vehicle_found,flag_needs_equipped_consumer,flag_value_blocked,flag_signal_vocab_gap,flag_capability_vocab_gap,file_exists,file_bytes,recommended_action
_build/integrity_report.json,External,External,definitely_not,"[""consumer_scope=External"", ""scope_alignment=PARTIAL"", ""added_value=MARGINAL"", ""signalt_irrigation_source=None"", ""regenerable_or_atomic_unit""]",0,[],[],[],[],[],True,True,True,False,False,True,153,reclassify_value_gate
_registry/EMPIRICAL_CORPUS_INDEX.json,phase_1,Phase_1,not_irrigable_yet,"[""no_equipped_consumer_for_stage""]",0,[],[],"[""phase_1_extraction""]","[""MC01"", ""MC02"", ""MC03"", ""MC04"", ""MC05"", ""MC06"", ""MC07"", ""MC08"", ""MC09"", ""MC10""]","[""CAUSAL_INFERENCE"", ""CITATION_PARSING"", ""COREFERENCE"", ""CURRENCY_NORMALIZATION"", ""DATE_NORMALIZATION"", ""DEMOGRAPHIC_ANALYSIS"", ""EMBEDDING_LOOKUP"", ""ENTITY_RESOLUTION"", ""FINANCIAL_ANALYSIS"", ""GRAPH_CONSTRUCTION"", ""HIERARCHY_PARSING"", ""NER_EXTRACTION"", ""NORMATIVE_LOOKUP"", ""NUMERIC_PARSING"", ""POPULATION_PARSING"", ""SECTION_DETECTION"", ""SEMANTIC_SIMILARITY"", ""STRUCTURAL_PARSING"", ""TEMPORAL_PARSING"", ""TREE_CONSTRUCTION"", ""TRIPLET_EXTRACTION"", ""VERB_ANALYSIS""]",True,True,False,False,False,True,10773,declare_and_register_consumer
_registry/SISAS_IRRIGATION_SPEC.json,External,External,definitely_not,"[""consumer_scope=External"", ""added_value=MARGINAL"", ""signalt_irrigation_source=None"", ""regenerable_or_atomic_unit""]",0,[],[],[],[],[],True,True,True,False,False,True,18470,reclassify_value_gate
_registry/capabilities/capability_definitions.json,Cross-Phase,Cross-Phase,irrigable_now,[],0,[],[],[],[],[],True,True,False,False,False,True,5424,declare_and_register_consumer
_registry/capabilities/consumer_capability_declarations.json,Cross-Phase,Cross-Phase,irrigable_now,[],0,[],[],[],[],[],True,True,False,False,False,True,7284,declare_and_register_consumer
_registry/capabilities/signal_capability_map.json,Cross-Phase,Cross-Phase,irrigable_now,[],0,[],[],[],[],[],True,True,False,False,False,True,4719,declare_and_register_consumer
_registry/entities/corpus_empirico_calibracion_extractores.json,phase_3,Phase_3,irrigable_now,[],0,[],"[""BaselineScorer"", ""CausalScorer"", ""CrossCuttingScorer"", ""DimensionScorer"", ""PolicyAreaScorer"", ""QualityScorer"", ""StructuralScorer""]","[""phase_3_validation""]","[""NORMATIVE_VALIDATION"", ""ENTITY_VALIDATION"", ""COHERENCE_VALIDATION""]","[""COMPLIANCE_CHECK"", ""CONSISTENCY_CHECK"", ""ENTITY_RESOLUTION"", ""EXISTENCE_CHECK"", ""NORMATIVE_LOOKUP"", ""SEMANTIC_SIMILARITY""]",True,False,False,True,True,True,25394,align_vocab_signal_or_capability
_registry/entities/corpus_empirico_integrado.json,phase_3,Phase_3,irrigable_now,[],0,[],"[""BaselineScorer"", ""CausalScorer"", ""CrossCuttingScorer"", ""DimensionScorer"", ""PolicyAreaScorer"", ""QualityScorer"", ""StructuralScorer""]","[""phase_3_validation""]","[""NORMATIVE_VALIDATION"", ""ENTITY_VALIDATION"", ""COHERENCE_VALIDATION""]","[""COMPLIANCE_CHECK"", ""CONSISTENCY_CHECK"", ""ENTITY_RESOLUTION"", ""EXISTENCE_CHECK"", ""NORMATIVE_LOOKUP"", ""SEMANTIC_SIMILARITY""]",True,False,False,True,True,True,47605,align_vocab_signal_or_capability
_registry/entities/corpus_empirico_normatividad.json,phase_3,Phase_3,irrigable_now,[],0,[],"[""BaselineScorer"", ""CausalScorer"", ""CrossCuttingScorer"", ""DimensionScorer"", ""PolicyAreaScorer"", ""QualityScorer"", ""StructuralScorer""]","[""phase_3_validation""]","[""NORMATIVE_VALIDATION"", ""ENTITY_VALIDATION"", ""COHERENCE_VALIDATION""]","[""COMPLIANCE_CHECK"", ""CONSISTENCY_CHECK"", ""ENTITY_RESOLUTION"", ""EXISTENCE_CHECK"", ""NORMATIVE_LOOKUP"", ""SEMANTIC_SIMILARITY""]",True,False,False,True,True,True,8702,align_vocab_signal_or_capability
_registry/entities/index.json,phase_3,Phase_3,irrigable_now,[],0,[],"[""BaselineScorer"", ""CausalScorer"", ""CrossCuttingScorer"", ""DimensionScorer"", ""PolicyAreaScorer"", ""QualityScorer"", ""StructuralScorer""]","[""phase_3_validation""]","[""NORMATIVE_VALIDATION"", ""ENTITY_VALIDATION"", ""COHERENCE_VALIDATION""]","[""COMPLIANCE_CHECK"", ""CONSISTENCY_CHECK"", ""ENTITY_RESOLUTION"", ""EXISTENCE_CHECK"", ""NORMATIVE_LOOKUP"", ""SEMANTIC_SIMILARITY""]",True,False,False,True,True,True,3620,align_vocab_signal_or_capability
