# 05_IMPORTS_STRATIFIED.txt
# Temporal and architectural classification
# Format: <module>|<era>|<module_reality>|<symbol_reality>

sys|ERA_UNKNOWN|DEAD|N/A
json|ERA_UNKNOWN|DEAD|N/A
pathlib|ERA_UNKNOWN|DEAD|N/A
farfan_pipeline.phases.Phase_07|ERA_MODERN|LIVE|N/A
subprocess|ERA_UNKNOWN|DEAD|N/A
typing|ERA_UNKNOWN|DEAD|N/A
unittest.mock|ERA_UNKNOWN|DEAD|N/A
pytest|ERA_UNKNOWN|DEAD|N/A
farfan_pipeline.phases.Phase_zero.phase0_10_01_runtime_config|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.Phase_02.executor_config|ERA_MODERN|DEAD|N/A
farfan_pipeline.orchestration.compatibility|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.Phase_02.phase2_10_00_factory|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.Phase_03.contracts.phase03_output_contract|ERA_MODERN|DEAD|N/A
structlog|ERA_UNKNOWN|DEAD|N/A
__future__|ERA_UNKNOWN|DEAD|N/A
hashlib|ERA_UNKNOWN|DEAD|N/A
os|ERA_UNKNOWN|DEAD|N/A
re|ERA_UNKNOWN|DEAD|N/A
time|ERA_UNKNOWN|DEAD|N/A
dataclasses|ERA_UNKNOWN|DEAD|N/A
datetime|ERA_UNKNOWN|DEAD|N/A
orchestration.settings|ERA_UNKNOWN|DEAD|N/A
farfan_pipeline.phases.Phase_02.phase2_60_00_base_executor_with_contract|ERA_MODERN|LIVE|N/A
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.signal_registry|ERA_MODERN|DEAD|N/A
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.vehicles.signal_loader|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.Phase_zero.phase0_90_02_bootstrap|ERA_MODERN|LIVE|N/A
importlib.util|ERA_UNKNOWN|DEAD|N/A
farfan_pipeline.orchestration.factory|ERA_MODERN|LIVE|N/A
farfan_pipeline.orchestration.orchestrator|ERA_ORCHESTRATOR|LIVE|N/A
warnings|ERA_UNKNOWN|DEAD|N/A
logging|ERA_UNKNOWN|DEAD|N/A
numpy|ERA_UNKNOWN|DEAD|N/A
pandas|ERA_UNKNOWN|DEAD|N/A
farfan_pipeline.methods.heterogeneous_treatment_effects|ERA_MODERN|LIVE|N/A
pydantic|ERA_UNKNOWN|DEAD|N/A
