# 06_DECISION_MATRIX.txt
# Mechanical remediation actions per import
# Format: <module>|<era>|<module_reality>|<symbol_reality>|<action>|<status>

sys|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
pathlib|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.infrastructure.extractors|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.orchestration|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_00.interphase.wiring_types|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
setuptools|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fastapi|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fastapi.responses|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
pydantic|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
typing|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
datetime|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
logging|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
canonic_questionnaire_central.validations.runtime_validators|ERA_UNKNOWN|LIVE|N/A|INVESTIGATE|UNKNOWN
uvicorn|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
json|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
collections|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
dataclasses|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
canonic_questionnaire_central.cross_cutting|ERA_UNKNOWN|LIVE|N/A|INVESTIGATE|UNKNOWN
__future__|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
re|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
..modules.quality_levels|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
..modules.scoring_modalities|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
structlog|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
canonic_questionnaire_central.scoring.validators|ERA_UNKNOWN|LIVE|N/A|INVESTIGATE|UNKNOWN
.scoring_validators|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
canonic_questionnaire_central.scoring|ERA_UNKNOWN|LIVE|N/A|INVESTIGATE|UNKNOWN
.modules|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.validators|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
canonic_questionnaire_central.colombia_context.enrichment_orchestrator|ERA_UNKNOWN|LIVE|N/A|INVESTIGATE|UNKNOWN
.scoring_modalities|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.quality_levels|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
enum|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.pdet_scoring_enrichment|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
canonic_questionnaire_central.scoring.modules|ERA_UNKNOWN|LIVE|N/A|INVESTIGATE|UNKNOWN
.phase4_territorial_integration|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
math|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
canonic_questionnaire_central._registry.questions.pattern_inheritance|ERA_UNKNOWN|LIVE|N/A|INVESTIGATE|UNKNOWN
functools|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
concurrent.futures|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
time|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
canonic_questionnaire_central._registry.questions.question_loader|ERA_UNKNOWN|LIVE|N/A|INVESTIGATE|UNKNOWN
pandas|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
canonic_questionnaire_central._registry.questions.signal_router|ERA_UNKNOWN|LIVE|N/A|INVESTIGATE|UNKNOWN
traceback|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
yaml|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
hashlib|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
statistics|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
canonic_questionnaire_central.validations.runtime_validators.scope_validator|ERA_UNKNOWN|LIVE|N/A|INVESTIGATE|UNKNOWN
canonic_questionnaire_central.validations.runtime_validators.value_add_validator|ERA_UNKNOWN|LIVE|N/A|INVESTIGATE|UNKNOWN
canonic_questionnaire_central.validations.runtime_validators.capability_validator|ERA_UNKNOWN|LIVE|N/A|INVESTIGATE|UNKNOWN
canonic_questionnaire_central.validations.runtime_validators.channel_validator|ERA_UNKNOWN|LIVE|N/A|INVESTIGATE|UNKNOWN
abc|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
csv|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
asyncio|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
canonic_questionnaire_central.colombia_context.context_providers|ERA_UNKNOWN|LIVE|N/A|INVESTIGATE|UNKNOWN
canonic_questionnaire_central.colombia_context|ERA_UNKNOWN|LIVE|N/A|INVESTIGATE|UNKNOWN
uuid|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.signal|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.signal_distribution_orchestrator|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
