# 07_DEPENDENCY_GRAVITY.txt
# Import frequency and centrality metrics
# Format: <module>|<import_count>|<source_file_count>|<centrality>

typing|517|514|1.01
pathlib|390|367|1.06
__future__|383|382|1.00
dataclasses|318|317|1.00
json|297|283|1.05
logging|265|245|1.08
pytest|240|233|1.03
datetime|178|168|1.06
sys|153|147|1.04
re|104|99|1.05
hashlib|99|95|1.04
time|86|79|1.09
enum|83|83|1.00
os|71|69|1.03
unittest.mock|65|61|1.07
collections|63|61|1.03
collections.abc|53|53|1.00
argparse|49|49|1.00
farfan_pipeline.orchestration.orchestrator|45|14|3.21
numpy|44|40|1.10
farfan_pipeline.phases.Phase_four_five_six_seven.aggregation|40|3|13.33
farfan_pipeline.phases.Phase_02.phase2_40_03_irrigation_synchronizer|38|9|4.22
math|37|37|1.00
farfan_pipeline.phases.Phase_02.carver|37|4|9.25
structlog|35|35|1.00
random|34|34|1.00
farfan_pipeline.phases.Phase_03.phase3_22_00_validation|34|4|8.50
farfan_pipeline.phases.Phase_02.phase2_50_00_task_executor|31|9|3.44
asyncio|30|29|1.03
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.signal_registry|27|24|1.12
farfan_pipeline.phases.Phase_02.phase2_10_00_factory|26|12|2.17
tempfile|24|22|1.09
farfan_pipeline.dashboard_atroz_.signal_extraction_sota|24|2|12.00
farfan_pipeline.phases.Phase_01|23|7|3.29
traceback|22|18|1.22
ast|22|20|1.10
orchestration.orchestrator|21|9|2.33
threading|20|20|1.00
farfan_pipeline.phases.Phase_01.phase1_13_00_cpp_ingestion|20|5|4.00
farfan_pipeline.phases.Phase_02.phase2_80_00_evidence_nexus|20|5|4.00
pydantic|19|19|1.00
inspect|19|17|1.12
farfan_pipeline.analysis.factory|19|7|2.71
farfan_pipeline.calibracion_parametrizacion.types|19|5|3.80
functools|18|18|1.00
csv|18|16|1.12
warnings|17|13|1.31
farfan_pipeline.infrastructure.extractors|17|8|2.12
abc|16|16|1.00
uuid|16|16|1.00
statistics|16|16|1.00
...core.signal|16|16|1.00
farfan_pipeline.phases.Phase_02.phase2_30_00_resource_manager|15|9|1.67
farfan_pipeline.phases.Phase_08.contracts.phase7_to_phase8_adapter|15|1|15.00
shutil|14|13|1.08
..core.signal|14|14|1.00
farfan_pipeline.phases.Phase_08.phase8_20_00_recommendation_engine|14|2|7.00
farfan_pipeline.core.types|13|10|1.30
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.core.signal|12|5|2.40
farfan_pipeline.phases.Phase_00.phase0_10_01_runtime_config|12|11|1.09
..base_consumer|12|12|1.00
...core.contracts|12|12|1.00
farfan_pipeline.phases.Phase_zero.phase0_10_01_runtime_config|12|12|1.00
canonic_questionnaire_central|11|7|1.57
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.signal_consumption|11|8|1.38
farfan_pipeline.phases.Phase_02.phase2_30_04_circuit_breaker|11|3|3.67
farfan_pipeline.phases.Phase_04.phase4_10_00_aggregation|11|10|1.10
farfan_pipeline.phases.phase_4_7_aggregation_pipeline.aggregation|11|8|1.38
farfan_pipeline.orchestration.metrics_persistence|11|3|3.67
pandas|10|10|1.00
farfan_pipeline.phases.Phase_00.phase0_10_00_paths|10|9|1.11
.base_vehicle|10|10|1.00
.input_registry|10|8|1.25
