class,count
PDETMunicipalPlanAnalyzer,840
CausalExtractor,250
BayesianMechanismInference,210
AdvancedDAGValidator,200
IndustrialPolicyProcessor,190
BayesianCounterfactualAuditor,170
PolicyAnalysisEmbedder,160
FinancialAuditor,140
AdaptivePriorCalculator,140
PolicyContradictionDetector,120
HierarchicalGenerativeModel,120
IndustrialGradeValidator,110
TeoriaCambio,100
SemanticAnalyzer,90
OperationalizationAuditor,90
PerformanceAnalyzer,60
TextMiningEngine,60
TemporalLogicVerifier,50
ReportingEngine,50
SemanticProcessor,50
PolicyTextProcessor,40
CausalInferenceSetup,40
MechanismPartExtractor,40
ConfigLoader,40
BeachEvidentialTest,30
CDAFFramework,30
BayesFactorTable,20
BayesianNumericalAnalyzer,20
PDFProcessor,10
BayesianConfidenceCalculator,10
